1,286
2,172
3,142
4,137
5,127
6,101
7,84
8,98
9,97
10,94
11,85
12,68
13,67
14,67
15,71
16,62
17,63
18,60
19,52
20,54
21,62
22,61
23,50
24,57
25,49
26,60
27,58
28,43
29,51
30,54
31,47
32,53
33,45
34,41
35,45
36,52
37,50
38,48
39,38
40,45
41,41
42,53
43,45
44,50
45,36
46,52
47,43
48,35
49,33
50,38
51,36
52,36
53,36
54,40
55,33
56,34
57,37
58,29
59,35
60,34
61,29
62,42
63,27
64,36
65,30
66,27
67,43
68,34
69,35
70,36
71,35
72,31
73,31
74,37
75,31
76,30
77,33
78,24
79,37
80,35
81,29
82,21
83,26
84,37
85,32
86,33
87,28
88,37
89,27
90,32
91,26
92,20
93,26
94,30
95,27
96,24
97,30
98,27
99,31
100,22
