1,2053
2,751
3,393
4,228
5,202
6,141
7,119
8,82
9,76
10,76
11,63
12,56
13,45
14,34
15,35
16,19
17,27
18,25
19,22
20,26
21,18
22,24
23,23
24,18
25,17
26,18
27,16
28,11
29,16
30,12
31,14
32,11
33,17
34,7
35,11
36,11
37,12
38,12
39,5
40,3
41,11
42,5
43,9
44,7
45,9
46,9
47,8
48,6
49,5
50,3
51,4
52,9
53,8
54,4
55,8
56,3
57,6
58,2
59,8
60,7
61,8
62,2
63,5
64,4
65,6
66,4
67,4
68,4
69,3
70,3
71,1
72,3
73,1
74,1
75,3
76,3
77,3
78,1
79,3
80,2
81,2
82,5
83,1
84,2
86,4
87,2
88,5
89,5
90,1
91,2
92,5
93,4
94,3
95,2
96,4
97,1
98,3
99,2
100,3
