1,2083
2,726
3,372
4,269
5,177
6,149
7,126
8,85
9,68
10,64
11,48
12,50
13,49
14,46
15,29
16,25
17,34
18,30
19,23
20,28
21,20
22,13
23,22
24,16
25,15
26,18
27,17
28,12
29,22
30,8
31,10
32,4
33,9
34,8
35,11
36,8
37,5
38,9
39,9
40,13
41,10
42,10
43,9
44,3
45,7
46,4
47,8
48,11
49,4
50,6
51,1
52,7
53,3
54,3
55,2
56,5
57,9
58,9
59,11
60,5
61,5
62,5
63,7
64,5
65,5
66,5
67,5
68,4
69,3
70,7
71,4
72,3
73,4
74,3
75,5
76,4
77,4
78,4
79,5
80,2
81,2
82,3
83,4
84,4
85,1
86,1
87,1
88,1
89,4
90,1
91,5
92,2
93,3
94,4
95,1
96,3
97,5
98,3
99,2
100,4
