1,248
2,179
3,158
4,140
5,116
6,104
7,112
8,86
9,111
10,81
11,74
12,72
13,79
14,62
15,68
16,81
17,73
18,55
19,50
20,67
21,61
22,53
23,58
24,67
25,62
26,50
27,55
28,50
29,49
30,52
31,51
32,63
33,58
34,48
35,36
36,37
37,54
38,44
39,42
40,45
41,48
42,41
43,39
44,47
45,48
46,40
47,43
48,35
49,39
50,46
51,45
52,42
53,37
54,33
55,29
56,30
57,43
58,32
59,36
60,29
61,38
62,40
63,44
64,37
65,42
66,33
67,34
68,28
69,34
70,30
71,30
72,29
73,31
74,36
75,33
76,31
77,31
78,27
79,28
80,27
81,32
82,28
83,29
84,24
85,30
86,33
87,18
88,23
89,19
90,26
91,27
92,31
93,19
94,20
95,31
96,14
97,26
98,23
99,26
100,25
