1,960
2,500
3,347
4,251
5,171
6,145
7,127
8,108
9,95
10,112
11,72
12,95
13,78
14,62
15,74
16,61
17,61
18,54
19,44
20,54
21,53
22,41
23,32
24,37
25,36
26,31
27,33
28,42
29,28
30,33
31,34
32,28
33,34
34,31
35,39
36,31
37,22
38,21
39,21
40,22
41,19
42,20
43,28
44,28
45,24
46,20
47,20
48,18
49,19
50,17
51,12
52,28
53,21
54,16
55,16
56,16
57,16
58,22
59,15
60,10
61,25
62,7
63,9
64,15
65,16
66,11
67,16
68,16
69,10
70,17
71,16
72,6
73,15
74,18
75,19
76,11
77,6
78,14
79,15
80,11
81,10
82,12
83,14
84,11
85,9
86,11
87,15
88,12
89,15
90,10
91,11
92,6
93,8
94,16
95,11
96,4
97,10
98,10
99,14
100,13
